Image_ID,Image_Width,Image_Height,Number_of_Particles,Total_Particle_Area,Avg_Diameter_um,Std_Diameter_um,Min_Diameter_um,Max_Diameter_um,Pore_Area_Fraction,Particle_Area_Fraction,Aspect_Ratio_Avg,Aspect_Ratio_Std,Circularity_Avg,Circularity_Std,Elongation_Avg,Elongation_Std,Agglomeration_Degree,Grain_Boundary_Density,Fractal_Dimension,Particle_Sizes_List
SEM_120,430,416,74,148705,11.06,49.36,1.13,429.47,0.17,0.83,1.68,0.79,1.44,4.37,0.48,0.33,0.83,0.26,1.84,"[429.46650678526225, 1.1283791670955126, 3.9088200952233594, 9.640875829802336, 12.360774464742066, 2.256758334191025, 9.23618154310838, 3.1915382432114616, 1.1283791670955126, 2.985410660720923, 1.1283791670955126, 34.16958680642984, 1.9544100476116797, 1.1283791670955126, 1.9544100476116797, 5.970821321441846, 1.9544100476116797, 4.918490759365935, 1.5957691216057308, 1.1283791670955126, 1.5957691216057308, 1.9544100476116797, 3.385137501286538, 4.370193722368317, 1.5957691216057308, 1.5957691216057308, 3.1915382432114616, 3.9088200952233594, 1.5957691216057308, 1.1283791670955126, 9.304852983362556, 24.824341676101277, 1.9544100476116797, 2.763953195770684, 1.1283791670955126, 6.579524642479541, 2.5231325220201604, 9.901487006738307, 4.51351666838205, 11.726460285670077, 1.1283791670955126, 3.742410318509555, 1.1283791670955126, 1.1283791670955126, 5.970821321441846, 1.5957691216057308, 22.025082668269306, 4.370193722368317, 1.9544100476116797, 3.9088200952233594, 7.312732791431452, 5.527906391541368, 3.5682482323055424, 1.5957691216057308, 1.5957691216057308, 1.1283791670955126, 2.763953195770684, 15.716503163191918, 4.222008245644752, 1.5957691216057308, 1.5957691216057308, 8.667244841319219, 1.5957691216057308, 4.918490759365935, 9.901487006738307, 17.769732893161912, 19.015783725757565, 1.9544100476116797, 17.55346033766304, 1.5957691216057308, 3.1915382432114616, 3.5682482323055424, 2.763953195770684, 1.5957691216057308]"
SEM_121,290,217,1,62930,283.06,0.00,283.06,283.06,0.00,1.00,1.34,0.00,0.78,0.00,0.25,0.00,1.00,0.09,1.81,[283.06353447624406]
SEM_122,288,288,101,51578,6.65,24.62,1.13,240.80,0.38,0.62,1.56,0.64,1.20,1.17,0.34,0.30,0.62,0.25,1.93,"[240.79992131806034, 1.5957691216057308, 63.310015691249774, 1.1283791670955126, 1.9544100476116797, 4.787307364817192, 2.985410660720923, 1.1283791670955126, 2.5231325220201604, 1.1283791670955126, 1.9544100476116797, 3.385137501286538, 1.1283791670955126, 2.763953195770684, 1.1283791670955126, 33.416030295843605, 5.641895835477563, 1.1283791670955126, 16.15593100600236, 25.40733061895184, 5.046265044040321, 1.1283791670955126, 2.5231325220201604, 4.068428945128219, 2.5231325220201604, 2.985410660720923, 2.763953195770684, 5.046265044040321, 4.652426491681278, 5.753627391751592, 1.1283791670955126, 7.046725639945928, 1.9544100476116797, 2.256758334191025, 2.985410660720923, 1.5957691216057308, 1.1283791670955126, 1.1283791670955126, 4.068428945128219, 2.256758334191025, 1.5957691216057308, 1.9544100476116797, 9.574614729634384, 1.5957691216057308, 2.256758334191025, 4.51351666838205, 1.5957691216057308, 4.51351666838205, 1.5957691216057308, 4.068428945128219, 3.1915382432114616, 2.256758334191025, 19.21560480373171, 1.1283791670955126, 2.5231325220201604, 1.1283791670955126, 5.863230142835039, 1.5957691216057308, 6.579524642479541, 3.1915382432114616, 16.774562271083887, 2.5231325220201604, 2.5231325220201604, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 1.1283791670955126, 2.985410660720923, 2.5231325220201604, 2.5231325220201604, 1.1283791670955126, 1.9544100476116797, 2.256758334191025, 2.256758334191025, 2.256758334191025, 1.1283791670955126, 2.5231325220201604, 3.385137501286538, 3.9088200952233594, 2.985410660720923, 1.1283791670955126, 2.763953195770684, 1.1283791670955126, 5.046265044040321, 4.370193722368317, 1.1283791670955126, 10.881694613449236, 2.5231325220201604, 1.1283791670955126, 4.222008245644752, 1.9544100476116797, 2.985410660720923, 1.1283791670955126, 1.1283791670955126, 2.5231325220201604, 3.742410318509555, 1.9544100476116797, 1.1283791670955126, 4.370193722368317, 1.1283791670955126]"
SEM_123,287,215,85,28612,8.76,18.76,1.13,165.56,0.54,0.46,2.00,1.43,1.48,4.06,0.44,0.29,0.46,0.18,1.78,"[165.56441090585656, 32.27243324562564, 1.1283791670955126, 8.740387444736633, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 1.9544100476116797, 15.347615963921077, 6.579524642479541, 33.511151553720346, 10.881694613449236, 4.51351666838205, 8.593479713983122, 1.1283791670955126, 13.773623058786647, 1.9544100476116797, 2.985410660720923, 1.1283791670955126, 1.1283791670955126, 13.493452297211721, 9.373021315815206, 11.67204486311899, 10.998079684646791, 9.574614729634384, 13.110581167104948, 21.967197988242077, 6.180387232371033, 17.000746355818674, 1.9544100476116797, 41.88703967392604, 2.256758334191025, 3.1915382432114616, 1.5957691216057308, 3.5682482323055424, 3.1915382432114616, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 1.5957691216057308, 3.742410318509555, 4.652426491681278, 8.058239062071396, 9.304852983362556, 7.225151993843567, 7.48482063701911, 2.256758334191025, 1.1283791670955126, 2.5231325220201604, 5.863230142835039, 6.282549314314218, 2.763953195770684, 2.763953195770684, 1.5957691216057308, 11.283791670955125, 2.763953195770684, 4.068428945128219, 4.370193722368317, 4.068428945128219, 3.742410318509555, 5.170882945826411, 2.256758334191025, 4.068428945128219, 4.370193722368317, 4.068428945128219, 3.1915382432114616, 5.641895835477563, 2.5231325220201604, 3.742410318509555, 5.641895835477563, 6.955796338302048, 3.1915382432114616, 4.222008245644752, 3.385137501286538, 2.5231325220201604, 4.918490759365935, 3.385137501286538, 5.292567428401227, 1.9544100476116797, 29.811427376513585, 20.683531783305643, 17.58969042850512, 1.5957691216057308, 9.574614729634384, 1.5957691216057308]"
SEM_124,288,281,55,51520,12.16,32.32,1.13,217.05,0.36,0.64,1.66,0.87,1.54,5.04,0.44,0.34,0.64,0.22,1.77,"[32.85889733292062, 5.046265044040321, 1.5957691216057308, 217.0451333609125, 68.93279321884198, 10.02925341359355, 1.5957691216057308, 2.763953195770684, 1.1283791670955126, 6.770275002573076, 1.1283791670955126, 1.5957691216057308, 7.653039857325812, 1.9544100476116797, 1.9544100476116797, 2.5231325220201604, 1.9544100476116797, 4.918490759365935, 4.918490759365935, 4.068428945128219, 1.1283791670955126, 7.735777827895049, 18.437867513470433, 1.5957691216057308, 4.787307364817192, 1.1283791670955126, 58.40384182864601, 3.385137501286538, 1.5957691216057308, 6.4820448144285745, 4.918490759365935, 1.9544100476116797, 2.256758334191025, 82.44120747415275, 1.5957691216057308, 2.256758334191025, 4.222008245644752, 1.5957691216057308, 1.5957691216057308, 17.000746355818674, 1.1283791670955126, 2.5231325220201604, 1.1283791670955126, 3.385137501286538, 1.1283791670955126, 5.170882945826411, 34.63223427878316, 3.9088200952233594, 1.1283791670955126, 2.763953195770684, 2.256758334191025, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126]"
SEM_125,285,215,96,25290,7.65,16.64,1.13,149.19,0.59,0.41,2.10,2.09,1.36,3.98,0.48,0.31,0.41,0.18,1.75,"[149.18947845446536, 5.292567428401227, 4.787307364817192, 4.222008245644752, 12.153015559492998, 7.817640190446719, 73.08378678040711, 1.5957691216057308, 4.918490759365935, 13.773623058786647, 1.9544100476116797, 5.970821321441846, 1.1283791670955126, 5.046265044040321, 1.1283791670955126, 1.9544100476116797, 1.5957691216057308, 4.51351666838205, 3.9088200952233594, 1.5957691216057308, 1.9544100476116797, 1.5957691216057308, 7.48482063701911, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 1.1283791670955126, 1.1283791670955126, 5.4115163798060095, 1.5957691216057308, 4.787307364817192, 1.1283791670955126, 9.83698151873187, 1.5957691216057308, 3.1915382432114616, 1.1283791670955126, 6.579524642479541, 2.256758334191025, 9.574614729634384, 1.5957691216057308, 2.763953195770684, 10.764051215546116, 2.5231325220201604, 3.9088200952233594, 2.256758334191025, 2.763953195770684, 30.256556854086718, 2.985410660720923, 6.770275002573076, 6.076507779746499, 9.304852983362556, 2.5231325220201604, 2.256758334191025, 1.1283791670955126, 17.58969042850512, 3.5682482323055424, 3.385137501286538, 6.770275002573076, 7.312732791431452, 5.046265044040321, 5.753627391751592, 3.1915382432114616, 3.5682482323055424, 13.446189622059965, 8.291859587312052, 5.046265044040321, 9.166995688475081, 10.155412503859614, 8.667244841319219, 8.812923024107548, 3.9088200952233594, 5.170882945826411, 6.770275002573076, 7.735777827895049, 6.955796338302048, 5.641895835477563, 7.225151993843567, 4.370193722368317, 5.4115163798060095, 11.507254783503184, 7.399277020331919, 5.292567428401227, 12.463355264843006, 10.704744696916627, 7.48482063701911, 8.884866446580956, 4.068428945128219, 3.5682482323055424, 3.385137501286538, 1.5957691216057308, 1.1283791670955126, 1.1283791670955126, 12.6156626101008, 7.48482063701911, 1.5957691216057308, 3.1915382432114616]"
SEM_126,288,281,51,37945,10.39,28.97,1.13,187.03,0.53,0.47,1.65,0.72,1.35,1.11,0.32,0.25,0.47,0.17,1.71,"[187.032038036412, 41.24376354997416, 1.9544100476116797, 3.9088200952233594, 6.383076486422923, 10.155412503859614, 2.985410660720923, 18.746042631630413, 7.046725639945928, 2.256758334191025, 5.046265044040321, 1.9544100476116797, 40.57460697705605, 4.51351666838205, 94.65614970143959, 1.1283791670955126, 3.385137501286538, 2.763953195770684, 4.652426491681278, 2.5231325220201604, 1.1283791670955126, 2.5231325220201604, 1.5957691216057308, 3.385137501286538, 2.763953195770684, 4.068428945128219, 6.579524642479541, 1.1283791670955126, 1.9544100476116797, 1.9544100476116797, 1.1283791670955126, 6.076507779746499, 1.1283791670955126, 8.812923024107548, 1.1283791670955126, 2.256758334191025, 5.970821321441846, 3.1915382432114616, 2.763953195770684, 2.985410660720923, 4.068428945128219, 2.256758334191025, 3.1915382432114616, 2.256758334191025, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 2.985410660720923, 2.985410660720923, 1.1283791670955126, 2.256758334191025]"
SEM_127,314,293,12,86971,34.10,89.81,1.13,329.84,0.05,0.95,8.11,12.18,1.72,1.35,0.42,0.36,0.95,0.11,1.86,"[329.84011184054833, 9.965574970333758, 9.965574970333758, 2.5231325220201604, 1.9544100476116797, 2.256758334191025, 41.21288090726863, 2.5231325220201604, 2.763953195770684, 2.5231325220201604, 2.5231325220201604, 1.1283791670955126]"
SEM_128,291,233,99,28162,7.10,17.66,1.13,159.37,0.58,0.42,2.82,7.50,2.39,6.54,0.46,0.34,0.42,0.18,1.73,"[159.36533248743999, 2.256758334191025, 1.1283791670955126, 1.9544100476116797, 9.965574970333758, 9.706684619910241, 47.84647010421796, 62.2963412437101, 12.463355264843006, 7.978845608028654, 1.9544100476116797, 4.652426491681278, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 1.9544100476116797, 1.5957691216057308, 1.1283791670955126, 1.5957691216057308, 27.982893345973448, 4.787307364817192, 3.385137501286538, 3.9088200952233594, 15.430353037616328, 12.257335203001883, 2.985410660720923, 2.985410660720923, 2.256758334191025, 1.1283791670955126, 9.0270333367641, 1.5957691216057308, 1.1283791670955126, 1.1283791670955126, 31.554291688816235, 5.170882945826411, 3.5682482323055424, 2.5231325220201604, 14.450303987687134, 1.1283791670955126, 1.9544100476116797, 1.9544100476116797, 5.863230142835039, 2.256758334191025, 1.5957691216057308, 9.09728368293446, 3.9088200952233594, 4.370193722368317, 3.1915382432114616, 1.5957691216057308, 1.5957691216057308, 3.5682482323055424, 2.256758334191025, 11.617374563210365, 5.970821321441846, 2.985410660720923, 4.370193722368317, 4.222008245644752, 5.863230142835039, 10.217907939900583, 8.214724333230155, 1.5957691216057308, 11.67204486311899, 6.955796338302048, 2.256758334191025, 1.1283791670955126, 5.170882945826411, 5.753627391751592, 4.068428945128219, 7.225151993843567, 3.742410318509555, 5.863230142835039, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 7.046725639945928, 2.985410660720923, 7.136496464611085, 2.256758334191025, 2.256758334191025, 2.985410660720923, 1.1283791670955126, 1.5957691216057308, 3.385137501286538, 1.1283791670955126, 1.9544100476116797, 1.5957691216057308, 3.5682482323055424, 1.9544100476116797, 3.385137501286538, 1.1283791670955126, 1.1283791670955126, 2.256758334191025, 1.9544100476116797, 2.763953195770684, 5.4115163798060095, 2.763953195770684, 1.9544100476116797, 2.256758334191025, 1.1283791670955126]"
SEM_129,649,853,518,290695,9.68,24.92,1.13,364.47,0.47,0.53,2.29,7.40,1.60,4.37,0.45,0.26,0.53,0.15,1.86,"[364.4717110851115, 5.046265044040321, 85.23558436626594, 1.9544100476116797, 11.11324596323283, 119.74118135905736, 10.092530088080641, 3.742410318509555, 9.706684619910241, 2.5231325220201604, 10.764051215546116, 2.985410660720923, 6.180387232371033, 2.763953195770684, 5.970821321441846, 1.9544100476116797, 3.5682482323055424, 5.863230142835039, 2.985410660720923, 1.1283791670955126, 6.383076486422923, 4.068428945128219, 3.385137501286538, 2.5231325220201604, 9.166995688475081, 2.5231325220201604, 3.1915382432114616, 8.593479713983122, 6.076507779746499, 2.985410660720923, 13.773623058786647, 8.058239062071396, 3.385137501286538, 49.802315539983645, 6.579524642479541, 2.256758334191025, 6.383076486422923, 2.5231325220201604, 4.918490759365935, 4.370193722368317, 1.5957691216057308, 1.1283791670955126, 46.08430926701898, 2.763953195770684, 2.256758334191025, 2.763953195770684, 4.222008245644752, 4.370193722368317, 1.1283791670955126, 4.652426491681278, 2.5231325220201604, 4.222008245644752, 19.248706645328987, 1.1283791670955126, 4.222008245644752, 20.37341629633241, 3.742410318509555, 6.863662517577698, 3.1915382432114616, 4.370193722368317, 1.1283791670955126, 1.1283791670955126, 13.540550005146152, 1.9544100476116797, 1.5957691216057308, 3.9088200952233594, 15.09668435477122, 1.1283791670955126, 4.370193722368317, 3.5682482323055424, 2.5231325220201604, 7.399277020331919, 5.046265044040321, 1.5957691216057308, 4.787307364817192, 1.1283791670955126, 1.5957691216057308, 2.763953195770684, 8.058239062071396, 2.5231325220201604, 1.1283791670955126, 7.399277020331919, 2.763953195770684, 5.170882945826411, 1.1283791670955126, 1.1283791670955126, 3.5682482323055424, 4.068428945128219, 11.227230955528665, 1.1283791670955126, 1.1283791670955126, 12.914889870235298, 6.076507779746499, 7.399277020331919, 3.742410318509555, 4.370193722368317, 12.565098628628435, 333.08407492710177, 2.763953195770684, 9.965574970333758, 2.256758334191025, 2.256758334191025, 15.430353037616328, 4.068428945128219, 8.444016491289505, 1.5957691216057308, 3.385137501286538, 1.1283791670955126, 2.985410660720923, 3.9088200952233594, 2.985410660720923, 9.373021315815206, 4.652426491681278, 10.998079684646791, 7.817640190446719, 5.753627391751592, 6.6755811781245455, 1.5957691216057308, 20.62188177498708, 9.09728368293446, 2.5231325220201604, 16.351767622932517, 2.5231325220201604, 14.093451279891855, 7.817640190446719, 1.5957691216057308, 2.256758334191025, 15.09668435477122, 5.046265044040321, 2.763953195770684, 8.884866446580956, 2.256758334191025, 4.068428945128219, 4.652426491681278, 1.1283791670955126, 6.180387232371033, 2.256758334191025, 11.055812783082736, 2.985410660720923, 1.5957691216057308, 1.9544100476116797, 1.5957691216057308, 3.1915382432114616, 5.292567428401227, 6.770275002573076, 103.53455330045779, 2.763953195770684, 30.52886088189566, 1.9544100476116797, 3.742410318509555, 2.256758334191025, 6.579524642479541, 63.81081463249823, 15.837556323903858, 6.076507779746499, 5.863230142835039, 3.9088200952233594, 8.368283871884005, 10.645107772184812, 2.5231325220201604, 4.222008245644752, 1.1283791670955126, 4.51351666838205, 2.985410660720923, 6.6755811781245455, 3.1915382432114616, 11.994835078277376, 2.5231325220201604, 12.565098628628435, 5.4115163798060095, 3.385137501286538, 3.1915382432114616, 5.4115163798060095, 1.5957691216057308, 73.23172101230796, 28.32209231647889, 5.753627391751592, 2.763953195770684, 8.667244841319219, 5.753627391751592, 1.5957691216057308, 1.1283791670955126, 8.291859587312052, 3.5682482323055424, 3.9088200952233594, 75.80323255237728, 1.5957691216057308, 3.1915382432114616, 1.5957691216057308, 7.312732791431452, 9.09728368293446, 4.652426491681278, 7.312732791431452, 5.641895835477563, 1.5957691216057308, 2.985410660720923, 9.166995688475081, 9.23618154310838, 2.256758334191025, 10.764051215546116, 8.291859587312052, 4.652426491681278, 4.370193722368317, 12.815923738491737, 5.292567428401227, 17.625846048215095, 2.763953195770684, 6.579524642479541, 4.51351666838205, 9.640875829802336, 7.898654169668588, 5.527906391541368, 1.1283791670955126, 2.5231325220201604, 3.9088200952233594, 3.385137501286538, 2.985410660720923, 22.847936741452536, 10.403141895720198, 12.565098628628435, 3.9088200952233594, 1.1283791670955126, 3.385137501286538, 1.9544100476116797, 9.304852983362556, 2.985410660720923, 3.1915382432114616, 2.5231325220201604, 1.1283791670955126, 2.256758334191025, 3.385137501286538, 2.256758334191025, 2.763953195770684, 129.0848012817507, 2.763953195770684, 9.574614729634384, 2.256758334191025, 1.9544100476116797, 1.9544100476116797, 13.398760233979036, 1.1283791670955126, 14.798554040663838, 2.5231325220201604, 1.1283791670955126, 7.817640190446719, 6.6755811781245455, 6.863662517577698, 8.214724333230155, 17.480774889473267, 3.1915382432114616, 6.282549314314218, 12.865501965161373, 15.347615963921077, 2.256758334191025, 4.370193722368317, 3.9088200952233594, 7.399277020331919, 5.753627391751592, 3.5682482323055424, 1.5957691216057308, 2.763953195770684, 7.136496464611085, 1.5957691216057308, 3.9088200952233594, 5.046265044040321, 8.368283871884005, 1.1283791670955126, 3.5682482323055424, 3.1915382432114616, 24.695783889727878, 1.9544100476116797, 2.5231325220201604, 1.1283791670955126, 12.205286835384658, 11.780624362746345, 1.1283791670955126, 7.046725639945928, 11.227230955528665, 13.207339536360731, 11.11324596323283, 6.076507779746499, 3.5682482323055424, 3.9088200952233594, 2.256758334191025, 26.726155439876237, 1.9544100476116797, 9.772050238058398, 6.955796338302048, 8.136857890256438, 2.5231325220201604, 10.585134856802455, 2.256758334191025, 2.256758334191025, 3.385137501286538, 16.15593100600236, 1.9544100476116797, 3.385137501286538, 5.4115163798060095, 8.058239062071396, 1.1283791670955126, 2.256758334191025, 10.403141895720198, 4.51351666838205, 3.9088200952233594, 17.625846048215095, 1.1283791670955126, 4.222008245644752, 4.370193722368317, 4.652426491681278, 4.918490759365935, 2.5231325220201604, 2.5231325220201604, 5.641895835477563, 8.740387444736633, 7.569397566060481, 8.368283871884005, 1.5957691216057308, 7.225151993843567, 1.1283791670955126, 13.207339536360731, 7.046725639945928, 3.5682482323055424, 3.1915382432114616, 1.9544100476116797, 3.742410318509555, 1.1283791670955126, 1.1283791670955126, 5.753627391751592, 4.370193722368317, 2.256758334191025, 2.256758334191025, 7.225151993843567, 3.742410318509555, 4.068428945128219, 6.770275002573076, 2.5231325220201604, 1.1283791670955126, 1.9544100476116797, 4.787307364817192, 3.385137501286538, 1.1283791670955126, 5.292567428401227, 8.95623198216277, 35.61104585035691, 1.5957691216057308, 4.918490759365935, 3.9088200952233594, 3.742410318509555, 5.641895835477563, 1.9544100476116797, 2.256758334191025, 1.9544100476116797, 1.9544100476116797, 1.1283791670955126, 2.763953195770684, 3.5682482323055424, 6.4820448144285745, 4.787307364817192, 2.763953195770684, 2.256758334191025, 2.256758334191025, 5.046265044040321, 9.440697438826296, 2.763953195770684, 1.9544100476116797, 3.1915382432114616, 1.5957691216057308, 3.742410318509555, 2.763953195770684, 4.652426491681278, 15.306079714651624, 6.4820448144285745, 5.170882945826411, 5.170882945826411, 7.735777827895049, 1.1283791670955126, 4.222008245644752, 26.986904594423443, 6.282549314314218, 6.4820448144285745, 2.763953195770684, 3.385137501286538, 3.1915382432114616, 2.5231325220201604, 1.5957691216057308, 1.1283791670955126, 37.219411933450225, 3.5682482323055424, 4.51351666838205, 4.222008245644752, 4.652426491681278, 17.186959427966244, 48.21758401959193, 95.67297992171606, 5.292567428401227, 8.136857890256438, 1.5957691216057308, 11.780624362746345, 3.9088200952233594, 2.985410660720923, 3.1915382432114616, 2.5231325220201604, 19.21560480373171, 5.753627391751592, 24.721548929484133, 14.002817212590296, 5.970821321441846, 4.918490759365935, 23.66908109081279, 42.26529405154344, 8.368283871884005, 2.985410660720923, 5.641895835477563, 3.742410318509555, 2.763953195770684, 4.787307364817192, 10.403141895720198, 1.5957691216057308, 1.5957691216057308, 24.201036973199617, 1.5957691216057308, 15.877702285203682, 6.955796338302048, 6.282549314314218, 2.5231325220201604, 15.877702285203682, 7.898654169668588, 3.5682482323055424, 1.5957691216057308, 16.07692842495848, 16.07692842495848, 52.901611689322735, 1.9544100476116797, 7.48482063701911, 1.1283791670955126, 2.985410660720923, 5.970821321441846, 7.569397566060481, 9.166995688475081, 5.292567428401227, 4.370193722368317, 8.95623198216277, 1.1283791670955126, 3.9088200952233594, 3.742410318509555, 2.763953195770684, 11.507254783503184, 8.444016491289505, 3.1915382432114616, 2.985410660720923, 12.205286835384658, 10.092530088080641, 2.985410660720923, 3.9088200952233594, 29.83277462405867, 4.222008245644752, 18.0540666735282, 9.373021315815206, 6.180387232371033, 6.282549314314218, 13.81976597885342, 3.5682482323055424, 10.217907939900583, 12.309163489997376, 9.640875829802336, 6.6755811781245455, 8.214724333230155, 1.5957691216057308, 1.9544100476116797, 7.399277020331919, 5.046265044040321, 10.823032759612019, 13.727325035155395, 3.385137501286538, 4.51351666838205, 11.941642642883693, 4.918490759365935, 1.9544100476116797, 8.368283871884005, 5.292567428401227, 5.641895835477563, 4.370193722368317, 4.068428945128219, 2.763953195770684, 3.5682482323055424, 2.763953195770684, 1.9544100476116797, 8.136857890256438, 8.058239062071396, 8.444016491289505, 8.214724333230155, 8.368283871884005, 8.368283871884005, 8.444016491289505, 8.51907589177983, 8.812923024107548, 8.667244841319219, 9.0270333367641, 22.42609239636699, 22.197831060995757, 22.111625566165472, 18.437867513470433, 17.26088217525478, 13.351162356249091, 13.727325035155395, 17.805522925178455, 16.85029431422316, 15.594510349620345, 16.39065416446578, 14.048207338801282, 22.56758334191025, 22.680140565547774, 17.334489682638438, 22.98683125324351, 23.42576026046658, 19.281751659604673, 16.39065416446578, 57.49199820959855]"
SEM_130,269,92,40,17261,7.63,22.16,1.13,143.96,0.30,0.70,1.85,1.01,2.53,6.02,0.46,0.31,0.70,0.32,1.93,"[143.96013361224087, 2.5231325220201604, 2.763953195770684, 1.1283791670955126, 1.9544100476116797, 4.068428945128219, 10.823032759612019, 3.9088200952233594, 1.1283791670955126, 2.256758334191025, 3.742410318509555, 1.9544100476116797, 1.5957691216057308, 3.5682482323055424, 1.1283791670955126, 7.136496464611085, 6.863662517577698, 4.652426491681278, 1.5957691216057308, 7.735777827895049, 2.256758334191025, 2.5231325220201604, 2.256758334191025, 5.641895835477563, 2.256758334191025, 3.9088200952233594, 2.763953195770684, 4.787307364817192, 12.964089628857149, 1.5957691216057308, 21.938198374294355, 1.1283791670955126, 2.5231325220201604, 2.985410660720923, 1.1283791670955126, 5.753627391751592, 5.970821321441846, 3.1915382432114616, 2.985410660720923, 2.256758334191025]"
SEM_131,136,86,43,7325,6.94,12.99,1.13,83.17,0.37,0.63,1.73,0.95,1.67,5.66,0.38,0.32,0.63,0.34,1.86,"[83.17157234624183, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 8.136857890256438, 6.282549314314218, 1.5957691216057308, 7.653039857325812, 3.1915382432114616, 1.1283791670955126, 1.9544100476116797, 1.1283791670955126, 7.735777827895049, 2.763953195770684, 1.1283791670955126, 1.9544100476116797, 2.5231325220201604, 2.5231325220201604, 1.1283791670955126, 1.1283791670955126, 5.641895835477563, 1.5957691216057308, 6.770275002573076, 14.093451279891855, 1.1283791670955126, 12.964089628857149, 2.5231325220201604, 1.1283791670955126, 11.941642642883693, 17.805522925178455, 25.003212122944625, 1.1283791670955126, 5.863230142835039, 19.867165345562018, 7.735777827895049, 1.9544100476116797, 5.641895835477563, 2.5231325220201604, 3.1915382432114616, 6.4820448144285745, 1.1283791670955126, 2.256758334191025]"
SEM_132,288,281,40,51338,14.60,37.70,1.13,197.50,0.37,0.63,1.86,1.39,1.74,5.86,0.41,0.35,0.63,0.21,1.77,"[197.49859101513033, 32.29215364663835, 5.527906391541368, 128.13936619518867, 4.068428945128219, 1.9544100476116797, 1.5957691216057308, 1.1283791670955126, 6.076507779746499, 1.1283791670955126, 1.1283791670955126, 2.763953195770684, 1.5957691216057308, 75.91233219623375, 5.292567428401227, 5.527906391541368, 1.1283791670955126, 1.9544100476116797, 1.1283791670955126, 6.180387232371033, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 2.256758334191025, 1.9544100476116797, 3.1915382432114616, 1.1283791670955126, 1.5957691216057308, 2.985410660720923, 52.247732811215734, 1.1283791670955126, 1.1283791670955126, 1.5957691216057308, 6.180387232371033, 6.770275002573076, 1.9544100476116797, 3.1915382432114616, 1.1283791670955126, 6.770275002573076, 3.385137501286538]"
SEM_133,136,86,27,7335,10.21,15.54,1.13,60.25,0.37,0.63,1.68,0.56,1.23,1.30,0.37,0.24,0.63,0.34,1.86,"[23.06976657227589, 60.24953063750745, 3.5682482323055424, 60.090825829480174, 5.970821321441846, 23.42576026046658, 18.847647942942654, 3.1915382432114616, 2.256758334191025, 1.1283791670955126, 1.9544100476116797, 1.9544100476116797, 2.256758334191025, 5.292567428401227, 3.385137501286538, 1.1283791670955126, 7.399277020331919, 1.1283791670955126, 4.222008245644752, 5.170882945826411, 16.85029431422316, 11.227230955528665, 3.9088200952233594, 1.1283791670955126, 1.5957691216057308, 2.763953195770684, 2.5231325220201604]"
SEM_134,288,281,52,40888,13.70,28.52,1.13,137.41,0.49,0.51,1.73,0.76,1.54,5.14,0.45,0.31,0.51,0.19,1.74,"[119.16025932703627, 38.381481905452574, 4.652426491681278, 7.817640190446719, 1.5957691216057308, 7.653039857325812, 1.9544100476116797, 10.217907939900583, 15.09668435477122, 1.1283791670955126, 5.641895835477563, 4.51351666838205, 22.397686948112614, 3.385137501286538, 12.047792665040703, 3.385137501286538, 2.763953195770684, 137.4076752182269, 1.5957691216057308, 1.5957691216057308, 1.5957691216057308, 5.170882945826411, 1.9544100476116797, 1.1283791670955126, 47.09546991939515, 1.1283791670955126, 1.1283791670955126, 1.1283791670955126, 3.9088200952233594, 110.4429030701514, 1.1283791670955126, 1.9544100476116797, 31.735350634355903, 12.766152972845846, 7.978845608028654, 4.068428945128219, 1.1283791670955126, 1.5957691216057308, 4.787307364817192, 8.51907589177983, 2.256758334191025, 8.291859587312052, 12.463355264843006, 3.9088200952233594, 4.222008245644752, 4.068428945128219, 1.5957691216057308, 12.412170838050638, 2.763953195770684, 1.1283791670955126, 4.222008245644752, 2.256758334191025]"
SEM_135,136,93,19,11021,8.52,25.81,1.13,117.88,0.13,0.87,1.58,0.68,3.58,8.15,0.43,0.33,0.87,0.33,1.80,"[2.5231325220201604, 2.5231325220201604, 2.256758334191025, 117.88187473585397, 3.742410318509555, 2.5231325220201604, 1.9544100476116797, 1.9544100476116797, 2.5231325220201604, 1.9544100476116797, 1.1283791670955126, 1.1283791670955126, 4.370193722368317, 2.5231325220201604, 6.383076486422923, 1.1283791670955126, 1.5957691216057308, 2.256758334191025, 1.5957691216057308]"
